,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
463,Eragon,103,PG,2006-12-15,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich","The Kingdom of Alagaesia is ruled by the evil King Galbatorix, a former dragon rider that betrayed his mates and his people in his quest for power. When the orphan farm boy Eragon finds a blue stone sent by Princess Arya, he sooner realizes that it is a dragon egg. When the dragon Saphira is born, Eragon meets his mentor Brom, and becomes the dragon rider foreseen in an ancient prophecy that would set his people free from the tyrant Galbatorix. Eragon meets the rebels Varden and together they fight against the evil sorcerer Durza and the army of Galbatorix in a journey for freedom."
464,Everyone's Hero,87,G,2006-09-15,"Christopher Reeve, Dan St. Pierre","Jake T. Austin, Raven, Whoopi Goldberg, Rob Reiner, William H. Macy","A young boy named Yankee Irving finds himself at an extraordinary crossroads: He has a chance to be a hero - and make a difference against incredible odds - or he can play it safe. With faith in himself instilled by his family, he teams up with a sassy young girl and some off-the-wall sidekicks and embarks on a sometimes perilous, often funny, cross-country quest. In the process, he restores his family's honor, befriends the world's biggest sports superstar, and reveals the hero within."
465,Facing the Giants,111,PG,2006-09-29,"Alex Kendrick, Stephen Kendrick","Alex Kendrick, Shannen Fields, Steve Williams, Bailey Cave, Jason McLeod","An action-packed drama about a Christian high school football coach who uses his undying faith to battle the giants of fear and failure. In six years of coaching, Grant Taylor has never led his Shiloh Eagles to a winning season. After learning that he and his wife Brooke face infertility, Grant discovers that a group of fathers are secretly organizing to have him dismissed as head coach. Devastated by his circumstances, he cries out to God in desperation. When Grant receives a message from an unexpected visitor, he searches for a stronger purpose for his football team. He dares to challenge his players to believe God for the impossible on and off the field. When faced with unbelievable odds, the Eagles must step up to their greatest test of strength and courage. What transpires is a dynamic story of the fight between faith and fear."
466,Failure to Launch,96,PG-13,2006-03-10,Tom Dey,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha, Bradley Cooper","At 35, Tripp has an interesting job, a hip car, a passion for sailing, and a great house - trouble is, he lives with his parents. They want him out, so they hire Paula, an ""interventionist,"" who has a formula in these cases: chance encounter, get him to ask her out, involve him in a trauma, meet his friends and get their nod, delay sex, have him teach her something, then launch him. It's worked up to now, but this gets complicated when Tripp thinks she's getting too serious and one of his pals is attracted to Paula's deadpan, semi-alcoholic roommate, who's plagued by a mockingbird. Too many secrets may scrub the launch, and what if Paula really likes him? Who can intervene then?"
467,Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter),105,PG-13,2006-09-22,Ronny Yu,"Jet Li, Shido Nakamura, Betty Sun, Dong Yong, Paw Hee Ching","A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
468,Final Destination 3,93,R,2006-02-10,James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton","When Wendy Christensen has a vision of an accident on the roller coaster, resulting in her and her friends' deaths, she instantly begins to panic, causing more of her friends to be left of the ride. The remaining friends, including Wendy's boyfriend, are stuck on the roller coaster and find themselves involved in the accident. With death waiting around the corner, Wendy and Kevin Fischer must try and work out death's plan, before they and the remaining survivors end up dead."
469,Firewall,105,PG-13,2006-02-10,Richard Loncraine,"Harrison Ford, Virginia Madsen, Carly Schroeder, Jimmy Bennett, Paul Bettany","With his family held for ransom, the head security executive for a global bank is commanded to loot his own business for millions in order to ensure his wife and children's safety. He then faces the demanding task of thwarting the kidnapper's grand scheme, which makes him look guilty of embezzlement."
470,Flags of Our Fathers,131,R,2006-10-20,Clint Eastwood,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey, John Slattery","In 1945, the Marines attack twelve thousand Japaneses protecting the twenty square kilometers of the sacred Iwo Jima island in a very violent battle. When they reach the Mount Suribachi and six Marines raise their flag on the top, the picture becomes a symbol in a post Great Depression America. The government brings the three survivors to America to raise funds for war, bringing hope to desolate people, and making the three men heroes of the war. However, the traumatized trio has difficulty dealing with the image built by their superiors, sharing the heroism with their mates."
471,Flicka,95,PG,2006-10-20,Michael Mayer,"Tim McGraw, Maria Bello, Alison Lohman, Ryan Kwanten, Danny Pino","Coming of age story set in the mountain vistas, A headstrong 16 year old Katy McLaughlin desires to work on her family's mountainside horse ranch, although her father insists she finish boarding school. Katy finds a mustang in the hills near her ranch. Katy then sets her mind to tame a mustang and prove to her father she can run the ranch. But when tragedy happens, it will take all the love and strength the family can muster to restore hope."
472,Flushed Away,84,PG,2006-11-03,"David Bowers, Sam Fell","Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno, Bill Nighy","Roddy is a decidedly upper-crust ""society mouse"" who lives the life of a beloved pet in a posh Kensington flat. When a sewer rat named Sid comes spewing out of the sink and decides he's hit the jackpot, Roddy schemes to rid himself of the pest by luring him into the ""whirlpool."" Sid may be an ignorant slob, but he's no fool, so it is Roddy who winds up being flushed away into the bustling sewer world of Ratropolis. There Roddy meets Rita, an enterprising scavenger who works the sewers in her faithful boat, the Jammy Dodger. Roddy immediately wants out, or rather, up; Rita wants to be paid for her trouble; and, speaking of trouble, the villainous Toad - who royally despises all rodents equally, making no distinction between mice and rats--wants them iced... literally. The Toad dispatches his two hapless hench-rats, Spike and Whitey, to get the job done. When they fail, the Toad has no choice but to send to France for his cousin - that dreaded mercenary, Le Frog."
473,Flyboys,55,PG-13,2006-09-22,Tony Bill,"James Franco, Martin Henderson, David Ellison, Jennifer Decker, Ian Rose","Before the United States enters World War I, some American youths volunteer for the French military. Subsequently, they become the first U.S. fighter pilots and form a squadron known as the Lafayette Escadrille, whose exploits and heroism become the stuff of legend. This fictional version follows a laconic Texas rancher, an eager Nebraska kid, a Black boxer already in France, and a New York swell, as they arrive green for training, get their baptism by fire when German planes ambush them on their first mission, and graduate to heroics. Rawlings, the Texan, falls in love with a young woman he meets at a bordel."
474,For Your Consideration,86,PG-13,2006-11-17,Christopher Guest,"Bob Balaban, Jennifer Coolidge, Christopher Guest, John Michael Higgins, Eugene Levy","Hollywood send-up. No-name actors are making a low-budget period drama called ""Home for Purim,"" when an anonymous post on the Internet suggests that one performance is Oscar-worthy. Then, two more cast members get Oscar-related press: buzz in ""Variety"" and appearances on TV prompt the studio executives to insist on changes in the script in anticipation of a blockbuster. Jump ahead a few months to the days before Oscar nominees are announced: just the possibility of a nomination has changed the actors' lives. Agents, publicists, make-up artists, local celebrity reporters, and other bit players round out the backstage ensemble. Hooray for Hollywood!"
475,Freedomland,113,R,2006-02-17,Joe Roth,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe","Late one evening, Brenda Martin, a thirty-seven year old Caucasian woman from the proverbial wrong side of the tracks, enters Dempsy Medical Center in Dempsy, New Jersey with minor injuries, but she is also emotionally distraught. One of the people to who she tells her story is Dempsy Police Detective Lorenzo Council, a black man. That story is that she was just carjacked by another unknown black man when she took a shortcut that she had never traveled between the Armstrong housing projects, where she works at the Rainbow Club, a children's center, and her home in Gannon, New Jersey. Her emotional distress is because her four year old son, Cody, was asleep in the back seat of the car and is thus now in the hands of the carjacker. Brenda's brother, Danny Martin, a police detective in Gannon, cannot help but get directly involved in the investigation despite he operating outside his jurisdiction. His actions do not sit well with Council, who he insinuates is not only not doing his job, but is protecting his own ""people"", i.e. the primarily black populace in the Armstrong housing projects. In addition, the residents of the projects feel that Brenda is getting special treatment as a white woman, as several children have gone missing from the projects without such a frenzied police intervention, which is unnecessarily and unfairly disrupting their lives. Karen Collucci with Friends of Kent, a volunteer organization that conducts searches for missing children, also offers their services, which Council eventually accepts with the caveat that they work under his directive. ""Kent"" was Collucci's own son never found, his disappearance which destroyed her personal life. Through the process, Council can't help but think that Brenda isn't telling them the entire story..."
476,Friends With Money,88,R,2006-04-07,Nicole Holofcener,"Jennifer Aniston, Frances McDormand, Joan Cusack, Catherine Keener, Greg Germann","Four women friends: three are wealthy and married plus there's Olivia, a former teacher who's now a maid. The marriages are in various states of health: Franny and Matt are happy and very rich. Christine and David write screenplays together, are remodeling their house, and argue. Jane is angry all the time and Aaron, who's an attentive husband, strikes everyone as gay. Franny sets up Olivia with a friend of hers, Mike, a personal trainer, and Olivia takes him with her to a couple of housecleaning jobs. A benefit dinner for ALS, an awkward guy named Marty whose place Olivia cleans, and a French maid's outfit figure in the story. Is there more to life than its problems?"
477,Garfield: A Tail of Two Kitties,78,PG,2006-06-16,Tim Hill,"Bill Murray, Jennifer Love Hewitt, Billy Connolly, Ian Abercrombie, Roger Rees","Garfield is back and this time Garfield and his canine sidekick Odie follows their owner, Jon Arbuckle, to England, the U.K. may never recover, as Garfield is mistaken for a look-alike, regal cat who has inherited a castle. Garfield savors the royal treatment afforded by his loyal four-legged subjects, but his reign is in jeopardy! The evil nefarious stubborn Lord Dargis is determined to do away with Garfield, so he can turn the castle into a resort. Garfield's bigger, better, more perfect world is soon turned upside down in this tale of two kitties."
478,Glory Road,117,PG,2006-01-13,James Gartner,"Josh Lucas, Derek Luke, Emily Deschanel, Austin Nichols, Evan Jones","40 years ago, Don Haskins went on the recruiting trail to find the best talent in the land, black or white. 7 blacks and 5 whites made up the legendary 1965-66 Texas Western Miners. They were mocked and ridiculed for their showboating and flaunting of black players on the court. Yet, in the face of seemingly insurmountable odds, Haskins and his Miners came together as a team united to reach the National Championship game against powerhouse Kentucky."
479,Grandma's Boy,136,R,2006-01-06,Nicholaus Goossen,"Linda Cardellini, Allen Covert, Peter Dante, Shirley Jones, Shirley Knight","When his roommate spends the rent money on hookers, Alex, a 35 year old video game tester has to find a new place to live. After an ""encounter"" with his friend's mom, Alex is forced to move in with his grandmother. Trying to save face with his younger co-workers, Alex says that ""a really cute chick said I could sleep with her and her two crazy girlfriends"" (meaning his grandmother and her two roommates)."
480,Gridiron Gang,120,PG-13,2006-09-15,Phil Joanou,"Dwayne Johnson, Xzibit, L. Scott Caldwell, Leon Rippy, Kevin Dunn","In the Kilpatrick juvenile detention center, the supervisor and former football player Sean Porter sees the lack of discipline, self-esteem, union and perspective in the teenage interns and proposes to prepare a football team to play in one league. He is supported by his superiors and his successful experience changes the lives of many young kids."
481,Half Nelson,87,R,2006-08-11,Ryan Fleck,"Ryan Gosling, Shareeka Epps, Anthony Mackie, Monique Gabriela Cumen, Karen Chilton",An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.
482,Happy Feet,109,PG,2006-11-17,"George Miller, Warren Coleman","Elijah Wood, Robin Williams, Hugh Jackman, Nicole Kidman, Brittany Murphy","This is the story of a little penguin named Mumble who has a terrible singing voice and later discovers he has no Heartsong. However, Mumble has an astute talent for something that none of the penguins had ever seen before: tap dancing. Though Mumble's mom, Norma Jean, thinks this little habit is cute, his dad, Memphis, says it ""just ain't penguin."" Besides, they both know that, without a Heartsong, Mumble may never find true love. As fate would have it, his one friend, Gloria, happens to be the best singer around. Mumble and Gloria have a connection from the moment they hatch, but she struggles with his strange ""hippity- hoppity"" ways. Mumble is just too different--especially for Noah the Elder, the stern leader of Emperor Land, who ultimately casts him out of the community. Away from home for the first time, Mumble meets a posse of decidedly un-Emperor-like penguins--the Adelie Amigos. Led by Ramon, the Adelies instantly embrace Mumble's cool dance moves and invite him to party with them. In Adelie Land, Mumble seeks the counsel of Lovelace the Guru, a crazy-feathered Rockhopper penguin who will answer any of life's questions for the price of a pebble. Together with Lovelace and the Amigos, Mumble sets out across vast landscapes and, after some epic encounters, proves that by being true to yourself, you can make all the difference in the world."
483,Harsh Times,115,R,2006-11-10,David Ayer,"Christian Bale, Freddy Rodriguez, Eva Longoria, Terry Crews, Chaka Forman",A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.
484,Hollywoodland,126,R,2006-09-08,Allen Coulter,"Adrien Brody, Diane Lane, Ben Affleck, Bob Hoskins, Lois Smith","A detective examines the mysterious death of George Reeves, the star of the television series Adventures of Superman (1952)."
485,Hoot,91,PG,2006-05-05,Wil Shriner,"Luke Wilson, Logan Lerman, Brie Larson, Tim Blake Nelson, Cody Linley","The story of a young man moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls, and that a tough girl at his school named Beatrice has some connection with the barefoot boy, who has some connection with vandalism at the construction site. When they realize that a population of endangered burrowing owls is threatened by new construction the kids decide to take on crooked politicians and bumbling cops in the hope of saving their new friends."
486,Hostel,94,R,2006-01-06,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Shane Daly, Barbara Nedeljakova","3 backpackers are in Amsterdam where they get locked out of their youth hostel. They are invited into a man's house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men. When they get there, everything is too good to be true - the hostel is ""to die for"""
487,How to Eat Fried Worms,83,PG,2006-08-25,Bob Dolman,"Luke Benward, Timothy Patrick Cavanaugh, Hallie Kate Eisenberg, Adam Hicks, Austin Rogers","During the first day of his new school year, a fifth grade boy squares off against a bully and winds up accepting a dare that could change the balance of power within the class."
488,Ice Age 2: The Meltdown,90,PG,2006-03-31,"Estella Elliot, Carlos Saldanha","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott","This game is a spin-off of the film Ice Age: The Meltdown, and seen through the eyes of Scrat, the saber-toothed squirrel. Scrat is making his way to finding more and more acorns and assorted nuts as he, like all of the megafauna of the Ice Age, makes it to safety from the oncoming flood. As he makes it through, he must find nuts by solving puzzles, helping out other animals in their pursuits, and generically risking his life by occasionally fighting some rogue animals which wish to do him harm. As he moves along, he usually has a run-in or two with Manny, Sid, Diego, the Possum brothers, Ellie, Cholly, or some other animals which help him out in his pursuits."
489,Idiocracy,104,R,2006-09-01,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, Anthony 'Citric' Campos","Officer Collins has been spearheading one of the US Army's most secretive experiments to date: the Human Hibernation Project. If successful, the project would store its subjects indefinitely until they are needed most. Their first test subject - Joe Bowers - was not chosen for his superiority. Instead, he's chosen because he's the most average guy in the armed services. But scandal erupts after the experiment takes place, the base is closed, and the president disavows any knowledge of the project. Unfortunately Joe doesn't wake up in a year, he wakes up in 500 years! But during that time human evolution has taken a dramatic down turn. After waking up, Joe takes a prison-assigned IQ test and finds that he's the smartest guy alive! Awaiting a full presidential pardon if he can solve one of the country's biggest problems - the dwindling plant population, Joe races against time to solve this problem. But in doing so he alienates half the country in the process! Can he make things right and escape a rather bizarre execution?"
490,Idlewild,121,R,2006-08-25,Bryan Barber,"Paula Patton, Terrence Howard, Faizon Love, Andre 3000, Antwan 'Big Boi' Patton","A musical set in the Prohibition-era American South, where a speakeasy performer and club manager Rooster must contend with gangsters who have their eyes on the club while his piano player and partner Percival must choose between his love, Angel or his obligations to his father."
491,Inside Man,129,R,2006-03-24,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
492,Invincible,104,PG,2006-08-25,Ericson Core,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway, Michael Rispoli","Based on the story of Vince Papale, a 30-year-old bartender from South Philadelphia who overcame long odds to play for the NFL's Philadelphia Eagles in 1976."
493,Iraq in Fragments,93,Unrated,2006-11-08,James Longley,"Mohammed Haithem, Suleiman Mahmoud","Stories from modern day Iraq as told by Iraqis living in a time of war, occupation and ethnic tension."
494,Jackass: Number Two,92,R,2006-09-22,Jeff Tremaine,"Johnny Knoxville, Chris Pontius, Ryan Dunn, Stephen 'Steve-O' Glover, Jason ""Wee Man"" Acuna","Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before."
495,Jesus Camp,86,PG-13,2006-09-15,"Heidi Ewing, Rachel Grady","Becky Fischer, Levi, Mike Papantonio, Rachael, Tory","Jesus Camp follows several young children as they prepare to attend a summer camp where the kids will get their daily dose of evangelical Christianity. Becky Fischer works at the camp, which is named Kids on Fire. Through interviews with Fischer, the children, and others, Jesus Camp illustrates the unswerving belief of the faithful. A housewife and homeschooling mother tells her son that creationism has all the answers. Footage from inside the camp shows young children weeping and wailing as they promise to stop their sinning. Child after child is driven to tears. Juxtapose these scenes with clips from a more moderate Christian radio host (who is appalled by such tactics), and Jesus Camp seems to pose a clear question: are these children being brainwashed?"
496,John Tucker Must Die,89,PG-13,2006-07-28,Betty Thomas,"Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush, Arielle Kebbel","Kate (Brittany Snow) is the new girl in school. She catches John Tucker (Jesse Metcalfe) dating three different girls at once: Carrie - the smart girl, Heather - the cheerleader, and Beth - the activist slut; none of them are aware that they are not the only girl in John's heart. Kate, having been raised by a single mother, has seen the pain caused by playboys like John Tucker, and she won't stand idly by. Together with the three jilted ex-girlfriends, they hatch a plan to teach John a lesson. Things rarely go as planned, especially when Kate starts to think that she might be falling for John herself."
497,Just My Luck,103,PG-13,2006-05-12,Donald Petrie,"Lindsay Lohan, Chris Pine, Faizon Love, Missi Pyle, Samaire Armstrong","In Manhattan, Ashley Albright is a lucky woman and very successful in the agency where she works. The clumsy Jake Hardin is an unlucky aspirant manager of the rock band McFly, who is unsuccessfully trying to contact the entrepreneur Damon Phillips to promote his band. When Ashley meets Jake in a masquerade party, they kiss each other, swapping her fortune with his bad luck."
498,Lady in the Water,109,PG-13,2006-07-21,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban, Sarita Choudhury","Cleveland Heep, a stuttering apartment superintendent, encounters a girl named Story swimming in the complex's pool. He soon learns that she comes from the Blue World, and has a message for mankind. Will he be able to help her complete her mission?"
499,Larry the Cable Guy: Health Inspector,89,PG-13,2006-03-24,Trent Cooper,"Larry The Cable Guy, Iris Bahr, Bruce Bruce, Joanna Cassidy, Brooke Dillman",A slovenly cable repairman becomes a big-city health inspector and is tasked with uncovering the source of a food poisoning epidemic.
500,Last Holiday,111,PG-13,2006-01-13,Wayne Wang,"Queen Latifah, Timothy Hutton, Giancarlo Esposito, Alicia Witt, Jane Adams","Upon learning of a terminal illness, a shy woman (Queen Latifah) decides to sell off all her possessions and live it up at a posh European hotel."
501,Let's Go to Prison,90,R,2006-11-17,Bob Odenkirk,"Dax Shepard, Will Arnett, Chi McBride, David Koechner, Dylan Baker","John Lyshitski is a car stealing slacker, with a weed problem, and has been in Illinois' Rossmore State Penitentiary so many times, he knows its entire population of both staff and cons by their first names. Cursed with the old ill luck of being in the wrong place, at the wrong time, in possession of the wrong car, he's been deemed a lost cause repeat offender in the eyes of everyone else. When the heartless judge, who has been behind most of his sentences, goes to the big court house in the sky, John decides to ruin the man's legacy by having the judge's only offspring, Nelson Biederman IV, thrown in the slammer along with him. Here, the world-class selfish jerk learns a certain old lesson the hard way: Do unto others as you would have others do unto you. But has John gone too far in the payback department?"
502,Letters from Iwo Jima,142,R,2006-12-20,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Nae Yuuki, Shido Nakamura","The island of Iwo Jima stands between the American military force and the home islands of Japan. Therefore the Imperial Japanese Army is desperate to prevent it from falling into American hands and providing a launching point for an invasion of Japan. General Tadamichi Kuribayashi is given command of the forces on the island and sets out to prepare for the imminent attack. General Kuribayashi, however, does not favor the rigid traditional approach recommended by his subordinates, and resentment and resistance fester among his staff. In the lower echelons, a young soldier, Saigo, a poor baker in civilian life, strives with his friends to survive the harsh regime of the Japanese army itself, all the while knowing that a fierce battle looms. When the American invasion begins, both Kuribayashi and Saigo find strength, honor, courage, and horrors beyond imagination."
503,Little Children,136,R,2006-10-06,Todd Field,"Kate Winslet, Patrick Wilson, Jennifer Connelly, Jackie Earle Haley, Gregg Edelman","Echoes of ""Madame Bovary"" in the American suburbs. Sarah's in a loveless marriage to an advertising executive, long days with her young daughter at the park and the pool, wanting more. Brad is an immature househusband, married to a flinty documentary filmmaker. Ronnie is just out of prison - two years for indecent exposure to a minor - living with his elderly mother, May; Larry is a retired cop, fixated on driving Ronnie away. Sarah and Brad connect, a respite of adult companionship at the pool. Ronnie and Larry have their demons. Brad should be studying for the bar; Larry misses his job; Ronnie's mom thinks he needs a girlfriend. Sarah longs to refuse to be trapped in an unhappy life. Where can these tangled paths lead?"
504,Little Man,90,PG-13,2006-07-14,Keenen Ivory Wayans,"Marlon Wayans, Shawn Wayans, Kerry Washington, John Witherspoon, Tracy Morgan","After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back."
505,Little Miss Sunshine,110,R,2006-07-26,"Jonathan Dayton, Valerie Faris","Greg Kinnear, Toni Collette, Steve Carell, Paul Dano, Abigail Breslin",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
506,Lucky Number Slevin,110,R,2006-04-07,Paul McGuigan,"Josh Hartnett, Morgan Freeman, Ben Kingsley, Lucy Liu, Stanley Tucci","In an airport waiting room, a man in a wheelchair tells a stranger a story about a fixed horse race in 1979 that resulted in a family's deaths. In Manhattan, two bookies and the son of a Mob boss die. A young man just out of the shower answers the door to a neighbor woman and explains that he's visiting, has had a bad week, including being mugged, and doesn't know where his pal, who lives there, is. The neighbor is chatty; she's a coroner. Two thugs arrive and, believing the visitor to be the guy who lives there, take him to see the boss with the dead son, who tells him to kill the son of his Mob rival. Mistaken identity? What connects the threads? Cops are watching."
507,Madea's Family Reunion,107,PG-13,2006-02-24,Tyler Perry,"Tyler Perry, Lynn Whitfield, Blair Underwood, Boris Kodjoe, Maya Angelou","While planning her family reunion, a pistol-packing grandma must contend with the other dramas on her plate, including the runaway who has been placed under her care, and her love-troubled nieces."
508,Man of the Year,115,PG,2006-10-13,Barry Levinson,"Robin Williams, Christopher Walken, Laura Linney, Jeff Goldblum, Lewis Black","Tom Dobbs, comedic host of a political talk show - a la Bill Maher and Jon Stewart - runs for President of the US as an independent candidate who, after an issues-oriented campaign and an explosive performance in the final debate, gets just enough votes to win. Trouble is he owes his victory to a computer glitch in the national touch-screen voting system marketed by Delacroy, a private company with a rising stock price. To protect their fortune, Delacroy executives want to keep the glitch a secret, but one programmer, Eleanor Green, wants Dobbs to know the truth. Can she get to him?"
509,Marie Antoinette,123,PG-13,2006-10-20,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Judy Davis, Rip Torn, Asia Argento","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen and ultimately the fall of Versailles."
510,Material Girls,98,PG,2006-08-18,Martha Coolidge,"Hilary Duff, Haylie Duff, Anjelica Huston, Lukas Haas, Maria Conchita Alonso","Two wealthy sisters, both heiresses to their family's cosmetics fortune, are given a wake-up call when a scandal and ensuing investigation strip them of their wealth."
511,Miami Vice,132,R,2006-07-28,Michael Mann,"Colin Farrell, Jamie Foxx, Li Gong, Naomie Harris, Ciaran Hinds","Ricardo Tubbs is urbane and dead smart. He lives with Bronx-born Intel analyst Trudy, as they work undercover transporting drug loads into South Florida to identify a group responsible for three murders. Sonny Crockett [to the untrained eye, his presentation may seem unorthodox, but procedurally, he is sound] is charismatic and flirtatious until - while undercover working with the supplier of the South Florida group - he gets romantically entangled with Isabella, the Chinese-Cuban wife of an arms and drugs trafficker. The best undercover identity is oneself with the volume turned up and restraint unplugged. The intensity of the case pushes Crockett and Tubbs out onto the edge where identity and fabrication become blurred, where cop and player become one - especially for Crockett in his romance with Isabella and for Tubbs in the provocation of an assault on those he loves."
512,Mission: Impossible III,127,PG-13,2006-05-05,J.J. Abrams,"Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Michelle Monaghan, Tom Cruise",Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .
513,Monster House,91,PG,2006-07-21,Gil Kenan,"Steve Buscemi, Nick Cannon, Maggie Gyllenhaal, Jon Heder, Kevin James","Three teens discover that their neighbor's house is really a living, breathing, scary monster."
514,"My Country, My Country",90,Unrated,2006-08-04,Laura Poitras,"Carlos Valenzuela, Riyadh Al-Adhadh, Peter Towndrow, Khris Scarcliff",Documentary by Oscar winner Laura Poitras about the war in Iraq.
515,My Super Ex-Girlfriend,95,PG-13,2006-07-21,Ivan Reitman,"Uma Thurman, Luke Wilson, Anna Faris, Eddie Izzard, Rainn Wilson","In New York, when the shy and lonely project manager of a design firm Matt Saunders meets Jenny Johnson in the subway, he invites her to date and have dinner with him. Jenny immediately falls in love for him, they have sex and she discloses her true identity to him, telling that she is the powerful superhero G-Girl. After meeting his co-worker and friend Hannah Lewis, the needy Jenny becomes jealous, controlling and manipulative, and Matt follows the advice of his best friend Vaughn Haige and dumps her, breaking her heart. Jenny turns Matt's life into hell, while he has a romance with Hannah. However, the archenemy of G-Girl and former high school sweetheart of Jenny, Professor Bedlam, proposes Matt to lure Jenny to strip her superpowers."
516,Nacho Libre,100,PG,2006-06-16,Jared Hess,"Jack Black, Hector Jimenez, Ana de la Reguera, Richard Montoya, Darius Rose","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler)."
517,Nanny McPhee,99,PG,2006-01-27,Kirk Jones,"Emma Thompson, Colin Firth, Thomas Sangster, Raphael Coleman, Jennifer Rae Daykin",Mr. Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away. Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers.
518,Night at the Museum,108,PG,2006-12-22,Shawn Levy,"Ben Stiller, Carla Gugino, Robin Williams, Dick Van Dyke, Mickey Rooney","In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum."
519,Notes on a Scandal,91,R,2006-12-25,Richard Eyre,"Judi Dench, Cate Blanchett, Bill Nighy, Andrew Simpson, Philip Davis","The bitter, cynical and lonely Barbara Covett is a tough and conservative teacher, near to retirement, who is loathed by her colleagues and students. In the loneliness of her apartment, she spends her spare time writing her journal, taking care of her old cat Portia and missing her special friend Jennifer Dodd. When Sheba Hart joins the high-school as the new art teacher, Barbara dedicates her attention to the newcomer, writing sharp and unpleasant comments about her behavior and clothes. When Barbara helps Sheba in a difficult situation with two students, the grateful Sheba invites her to have lunch with her family. Sheba introduces her husband and former professor Richard Hart, who is about twenty years older than she; her rebellious teenager daughter Polly; and her son Ben that has Down's Syndrome. Barbara becomes close to Sheba, but when she accidentally discovers that Sheba is having an affair with the fifteen year-old student Steven Connolly, Barbara sees the chance to manipulate and get closer to Sheba, hiding the secret from the school headmaster. When Portia dies and Sheba does not stay with Barbara in the veterinary office to see Ben in a theater play, Barbara plots a Machiavellian revenge against Sheba, creating a scandal and consequent turmoil in their lives."
520,One Night With the King,123,PG,2006-10-13,Michael O. Sajbel,"Peter O'Toole, Tiffany Dupont, Omar Sharif, Luke Goss, John Rhys-Davies","The young Jewish girl, Hadassah, goes on to become the Biblical Esther, the Queen of Persia, who saves the Jewish nation from annihilation at the hands of its arch enemy."
